news_id,sen_id,subject,subject1,subject2,predicate,object,object1,object2,speaker,remark,text,date,company,url
1,1_1,정부,,,발표하다,임대주택 공급,,,,,정부가 이르면 이번 주 임대주택 공급 등 전세시장 안정을 위한 전세대책을 발표한다.,2020.10.25,연합뉴스,
1,1_1,정부,,,위하다,전세시장안정,,,,,,2020.10.25,연합뉴스,
1,1_2,정부,,,계획이다,전세 대책 발표,,,,윗장이랑 연결X (~에 따르면 ~할 예정이다),"25일 기획재정부와 국토교통부 등 관계 부처에 따르면, 정부는 이르면 이번 주, 늦어도 다음주에는 전세시장 안정대책을 발표할 계획이다.",2020.10.25,연합뉴스,
1,1_3,정부,,,진행하다,관계부처간 협의,,,정부관계자,,"정부 관계자는 ""시장 상황을 예의주시하는 수준을 넘어 어떤 형태로든 대응 방안을 마련하는 것이 옳다고 보고 관계부처 간 협의를 진행하고 있다""면서 ""완전히 새로운 대책을 낸다기보다 기존 부동산 정책의 방향성을 유지하는 가운데 일부 부작용을 보완하는 형태가 될 것""이라고 밝혔다.",2020.10.25,연합뉴스,
1,1_3,정부,,,옳다,대응방안 마련,,,정부관계자,,,2020.10.25,연합뉴스,
1,1_3,정부,,,유지하다,기존정책,,,,,,2020.10.25,연합뉴스,
1,1_3,정부,,,보완하다,부작용,,,,,,2020.10.25,연합뉴스,
1,1_3,정부,,,내지 않다,새로운 대책,,,,,,2020.10.25,연합뉴스,
2,2_1,정부,,,발표하다,전세대책,,,,,정부가 이르면 이번 주 임대주택 공급 등 전세시장 안정을 위한 전세대책을 발표한다.,2020.10.25,서울경제,
2,2_1,전세대책,,,포함하다,임대주택공급,,,,,,2020.10.25,서울경제,
2,2_1,정부,,,위하다,전세시장 안정,,,,,,2020.10.25,서울경제,
2,2_2,전세난,,,번지다,월세시장,,,,문장간 인과관계,이런 가운데 임대차 3법 강행으로 '전세대란'의 불길이 잠잠하던 월세 시장으로까지 번지고 있다.,2020.10.25,서울경제,
2,2_2,정부,,,강행하다,임대차법,,,,,,2020.10.25,서울경제,
2,2_3,전세,,,지속하다,품귀현상,,,,,새 임대차법이 시행된 지 석 달이 가까워지는 가운데 전세매물 품귀 속에 월세 전환이 가속화된 데 따른 것이다.,2020.10.25,서울경제,
2,2_3,임대차법,,,지나다,3개월,,,,,,2020.10.25,서울경제,
2,2_3,월세,,,가속화되다,전환,,,,,,2020.10.25,서울경제,
3,3_1,세입자,,,고민하다,계약기간 만료,,,,,서울 송파구의 한 아파트에서 전세를 살고 있는 주부 김모씨는 계약 기간 만료를 앞두고 고민이 많다.,2020.10.25,한국경제,
3,3_2,집주인,,,요구하다,전세의 0.6%,,,,,이 일대의 전셋값이 2년 전보다 2억5000만원가량 오르자 집주인이 상승한 전세가격 만큼 월 0.6%의 월세를 요구한 것이다.,2020.10.25,한국경제,
3,3_2,전셋값,,,오르다,2년전보다 2억5천만원,,,,,,2020.10.25,한국경제,
3,3_3,집주인,,,받겠다고 하다,월세,150만원,,,,"김씨는 ""집주인이 전세금 5억원은 그대로 둔 채 따로 월세를 150만원이나 받겠다고 해서 걱정""이라며 ""이 일대에 전·월세가 워낙 없고 집주인의 요구를 거절했다간 실거주하겠다고 나올까봐 망설이고 있다""고 말했다.",2020.10.25,한국경제,
3,3_3,집주인,,,유지하다,전세금,5억원,,집주인,,,2020.10.25,한국경제,
3,3_3,전월세,,,없다,일대,,,,,,2020.10.25,한국경제,
3,3_3,집주인,,,실거주하다,전세집,,,,,,2020.10.25,한국경제,
3,3_3,세입자,,,망설이다,집주인 요구,,,,~하면~하다 관계,,2020.10.25,한국경제,
4,4_1,임대차법,,,크다,위헌 소지,,,전문가 용역보고서,,현 정권과 집권 더불어민주당이 강행 추진해 전세대란을 야기한 '임대차 3법'은 위헌 소지가 크다는 전문가의 용역보고서가 나왔다.,2020.10.24,데일리안,
4,4_1,임대차법,,,야기하다,전세난,,,,,,2020.10.24,데일리안,
4,4_1,정부,,,강행하다,임대차법,,,,,,2020.10.24,데일리안,
4,4_1,더불어민주당,,,강행하다,임대차법,,,,,,2020.10.24,데일리안,
